sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
38458543842,2022-09-22T03:59:00Z,85,21,21,43,55,70,0.038802660753880266
38436323925,2022-09-20T08:02:00Z,81,20,25,36,49,69,0.03315881326352531
38432300723,2022-09-20T02:03:30Z,63,18,20,25,9,69,0.005671077504725898
38418034144,2022-09-19T06:59:00Z,83,17,22,44,53,69,0.04011670313639679
38410424736,2022-09-18T06:50:00Z,79,14,20,45,14,68,0.034126984126984124
38401064453,2022-09-17T08:06:30Z,90,22,23,45,90,67,0.031892274982282066
38390536521,2022-09-16T08:49:00Z,84,18,20,46,68,67,0.03672316384180791
38372577885,2022-09-15T08:34:30Z,88,20,24,44,118,67,0.054497701904136574
38371359943,2022-09-14T15:49:30Z,47,16,8,23,4,64,0.2035225048923679
38369172631,2022-09-14T09:31:30Z,58,15,13,30,46,64,0.061083743842364535
38353850786,2022-09-13T05:47:30Z,84,20,25,39,49,65,0.036757775683317624
38331159972,2022-09-11T06:56:30Z,94,21,26,47,78,65,0.014705882352941176
38322424308,2022-09-10T08:54:30Z,76,21,21,34,64,64,0.04961240310077519
38304756221,2022-09-09T00:03:00Z,68,12,19,37,,65,0.004975124378109453
38298702002,2022-09-08T07:56:30Z,92,23,24,45,113,68,0.03941908713692946
38287262842,2022-09-07T08:26:00Z,86,18,22,46,82,68,0.04274134119380987
38274263249,2022-09-06T06:59:00Z,91,21,24,46,110,71,0.03275705186533212
38264534957,2022-09-05T09:13:30Z,91,21,25,45,79,73,0.0423963133640553
38257999649,2022-09-04T22:57:30Z,68,16,24,28,,74,0.0367816091954023
38243536342,2022-09-03T09:13:00Z,77,16,25,36,34,76,0.04540162980209546
38230433611,2022-09-02T08:20:30Z,81,15,22,44,30,79,0.0664718772826881
38217527072,2022-09-01T06:48:30Z,87,18,24,45,63,81,0.04929577464788732
38206041902,2022-08-31T08:59:30Z,79,16,22,41,58,83,0.10705973622963538
38190110192,2022-08-30T05:21:00Z,62,19,9,34,99,77,0.18942189421894218
38166157852,2022-08-28T08:09:30Z,72,19,18,35,72,75,0.07113543091655267
38152620376,2022-08-26T07:51:00Z,87,19,22,46,80,73,0.024469820554649267
38136094959,2022-08-25T07:06:30Z,90,20,23,47,32,74,0.03672787979966611
38119216041,2022-08-24T07:55:30Z,79,15,23,41,46,75,0.05829285218598196
38099432694,2022-08-22T06:04:30Z,84,21,24,39,49,75,0.046622264509990484
38087898617,2022-08-21T06:57:00Z,78,15,20,43,37,73,0.03195352214960058
38077070608,2022-08-20T07:50:30Z,79,18,19,42,64,71,0.09436722750548647
38062199750,2022-08-18T23:48:30Z,56,13,17,26,10,67,0.06933333333333333
38060429130,2022-08-18T18:45:30Z,54,14,11,29,26,67,0.1045531197301855
38039564021,2022-08-17T04:46:00Z,93,22,24,47,96,69,0.039532794249775384
38034706127,2022-08-16T09:22:30Z,73,19,13,41,76,66,0.056782334384858045
38008733569,2022-08-15T07:00:00Z,88,21,23,44,67,66,0.016544117647058824
37997464471,2022-08-14T06:56:00Z,91,21,24,46,90,66,0.027752081406105456
37986198350,2022-08-13T06:56:00Z,80,17,21,42,86,65,0.06389776357827476
37975404127,2022-08-12T06:09:00Z,88,20,25,43,56,68,0.0236734693877551
37963516924,2022-08-11T07:03:30Z,86,18,22,46,60,70,0.03429878048780488
37947199878,2022-08-10T09:42:30Z,80,17,23,40,34,73,0.05781990521327014
37937827143,2022-08-09T07:04:00Z,77,19,13,45,94,70,0.05877342419080068
37922417254,2022-08-08T06:58:30Z,78,16,21,41,33,72,0.06783493499152063
37919467610,2022-08-07T13:49:30Z,57,15,15,27,14,70,0.14809960681520315
37912110642,2022-08-07T06:20:00Z,69,17,13,39,83,70,0.11310084825636192
37905638492,2022-08-06T07:49:00Z,63,16,15,32,26,68,0.026892430278884463
37890065044,2022-08-05T05:30:30Z,57,15,21,21,61,70,0.13814756671899528
37887009169,2022-08-04T16:12:30Z,74,18,17,39,,69,0.002150537634408602
37883375754,2022-08-04T07:00:30Z,67,19,24,24,36,69,0.05132743362831858
37871549835,2022-08-03T06:05:00Z,91,22,23,46,90,71,0.020157756354075372
37861655767,2022-08-02T07:01:30Z,76,17,17,42,62,68,0.026600985221674877
37850128686,2022-08-01T08:09:00Z,83,17,20,46,54,67,0.05343511450381679
37836419424,2022-07-31T06:57:00Z,90,20,24,46,27,69,0.04085422469823584
37827448426,2022-07-30T08:30:30Z,85,23,16,46,115,67,0.06412103746397695
37813861323,2022-07-29T06:17:30Z,72,15,22,35,82,69,0.08846584546472565
37790943424,2022-07-27T05:58:30Z,69,15,24,30,12,67,0.02909647779479326
37779531278,2022-07-26T06:31:00Z,84,18,25,41,27,69,0.01646090534979424
37766695424,2022-07-25T10:49:30Z,89,22,20,47,115,68,0.036055923473142015
37753282774,2022-07-24T09:19:30Z,86,18,23,45,83,69,0.023622047244094488
37738107804,2022-07-23T06:24:00Z,86,19,21,46,51,68,0.04248088360237893
37727357185,2022-07-22T07:24:00Z,78,20,21,37,51,65,0.032497678737233054
